recommender,district,visits,visit_share,spend,spend_share,run
popularity,Ciutat Vella,5693,0.5221498670090801,76373.29999999847,0.39014466758574884,0
popularity,Eixample,2394,0.21957259469870677,65722.89999999982,0.33573826158188597,0
popularity,Gracia,1171,0.1074016325781895,24711.079999999933,0.12623385518610578,0
popularity,Horta-Guinardo,20,0.001834357516279923,289.76000000000005,0.001480207335281425,0
popularity,Les Corts,132,0.012106759607447492,3190.4399999999923,0.016298014531941116,0
popularity,Nou Barris,260,0.023846647711639,3290.7600000000116,0.016810488302908332,0
popularity,Sant Andreu,0,0.0,0.0,0.0,0
popularity,Sant Marti,600,0.055030725488397686,8588.459999999952,0.04387321055622251,0
popularity,Sants-Montjuic,452,0.041456479867926256,9447.780000000048,0.0482629529891124,0
popularity,Sarria-Sant Gervasi,181,0.016600935522333302,4141.879999999997,0.0211583419307545,0
personalized,Ciutat Vella,4542,0.4216878655649429,65541.0800000003,0.3670683816852358,0
personalized,Eixample,1591,0.14771144740506917,35338.70000000018,0.19791738890875846,0
personalized,Gracia,616,0.0571906044007056,11884.559999999912,0.06656048704478221,0
personalized,Horta-Guinardo,234,0.021725002321047255,4336.879999999998,0.02428906455558953,0
personalized,Les Corts,148,0.013740599758611085,3527.319999999991,0.01975505505990986,0
personalized,Nou Barris,292,0.027109831956178627,3653.640000000015,0.020462520941986986,0
personalized,Sant Andreu,118,0.010955343050784515,1808.640000000001,0.010129441837869964,0
personalized,Sant Marti,1759,0.16330888496889798,22863.04000000006,0.12804639614124147,0
personalized,Sants-Montjuic,1024,0.09507009562714697,21902.83999999994,0.12266871453919576,0
personalized,Sarria-Sant Gervasi,447,0.041500324946615916,7696.079999999962,0.04310254928542653,0
sustainable,Ciutat Vella,3204,0.30283553875236296,47306.0400000003,0.26715530833071455,0
sustainable,Eixample,1141,0.10784499054820416,25344.98000000011,0.14313279967073506,0
sustainable,Gracia,763,0.072117202268431,14689.639999999865,0.08295801769641122,0
sustainable,Horta-Guinardo,508,0.04801512287334594,8916.72000000004,0.0503561295956847,0
sustainable,Les Corts,293,0.0276937618147448,6888.679999999967,0.038903011737858546,0
sustainable,Nou Barris,600,0.05671077504725898,7498.440000000036,0.04234655976698451,0
sustainable,Sant Andreu,489,0.04621928166351607,7458.839999999966,0.042122923415053234,0
sustainable,Sant Marti,1736,0.16408317580340265,23048.900000000078,0.13016595737423356,0
sustainable,Sants-Montjuic,1129,0.10671077504725898,23345.13999999991,0.13183893800291957,0
sustainable,Sarria-Sant Gervasi,717,0.06776937618147448,12575.800000000067,0.07102035440940303,0
popularity,Ciutat Vella,5694,0.522529136459576,76299.83999999863,0.3895636347149422,1
popularity,Eixample,2427,0.2227218500504726,66560.05999999985,0.3398352984809017,1
popularity,Gracia,1179,0.1081949160319354,24803.799999999927,0.1266406126505983,1
popularity,Horta-Guinardo,29,0.0026612829219051113,414.2000000000001,0.0021147784516839354,1
popularity,Les Corts,112,0.010278058181150776,2847.6599999999953,0.014539280554616764,1
popularity,Nou Barris,277,0.025419840323024686,3500.280000000013,0.017871358567987133,1
popularity,Sant Andreu,5,0.0004588418830870882,73.8,0.0003768002166447957,1
popularity,Sant Marti,585,0.05368450032118932,8442.77999999994,0.04310625112580387,1
popularity,Sants-Montjuic,450,0.04129576947783794,9255.300000000048,0.047254729608571765,1
popularity,Sarria-Sant Gervasi,139,0.012755804349821051,3662.0399999999977,0.01869725562821012,1
personalized,Ciutat Vella,4619,0.42768518518518517,66672.20000000003,0.3723193417285093,1
personalized,Eixample,1583,0.14657407407407408,35314.14000000007,0.19720569230516527,1
personalized,Gracia,638,0.05907407407407408,12218.599999999902,0.06823265332243311,1
personalized,Horta-Guinardo,237,0.021944444444444444,4347.72,0.024279088561947465,1
personalized,Les Corts,134,0.012407407407407407,3124.859999999994,0.017450238903077248,1
personalized,Nou Barris,314,0.029074074074074075,3927.9600000000164,0.021935011617074597,1
personalized,Sant Andreu,124,0.011481481481481481,1899.3600000000013,0.010606646621912305,1
personalized,Sant Marti,1730,0.16018518518518518,22547.600000000053,0.12591316305083305,1
personalized,Sants-Montjuic,1005,0.09305555555555556,21430.05999999993,0.11967245467229862,1
personalized,Sarria-Sant Gervasi,416,0.03851851851851852,7590.119999999972,0.04238570921674073,1
sustainable,Ciutat Vella,3266,0.3068971997744785,48416.46000000032,0.2726105977939559,1
sustainable,Eixample,1141,0.10721668859236985,25233.480000000134,0.142078005439097,1
sustainable,Gracia,772,0.07254275512121781,14828.95999999986,0.08349498600811782,1
sustainable,Horta-Guinardo,508,0.047735388084946435,8753.760000000042,0.04928835661559757,1
sustainable,Les Corts,289,0.027156549520766772,6765.299999999967,0.038092261955034075,1
sustainable,Nou Barris,599,0.05628641232850968,7486.560000000036,0.04215334200435792,1
sustainable,Sant Andreu,488,0.04585604209735012,7446.239999999965,0.041926318812181715,1
sustainable,Sant Marti,1753,0.16472467581281713,23315.300000000065,0.13127762481489552,1
sustainable,Sants-Montjuic,1128,0.10599511370043226,23255.939999999915,0.13094339622641363,1
sustainable,Sarria-Sant Gervasi,698,0.06558917496711145,12101.000000000064,0.06813511033034336,1
popularity,Ciutat Vella,5644,0.5162352510747279,75473.97999999828,0.38335822380659534,2
popularity,Eixample,2460,0.22500685996524283,67760.95999999995,0.34418115049756653,2
popularity,Gracia,1195,0.1093021128692948,25073.99999999992,0.12735944366160046,2
popularity,Horta-Guinardo,41,0.0037501143327540475,688.0399999999997,0.0034947910830712223,2
popularity,Les Corts,119,0.010884478185310529,3097.839999999994,0.015734991583020372,2
popularity,Nou Barris,279,0.025519070703375103,3517.5600000000136,0.017866893381443028,2
