recommender,tourists,total_visits,avg_visits_per_tourist,avg_satisfaction,avg_sustainability,poi_coverage,neighbourhood_coverage,poi_entropy,district_entropy,district_gini,max_poi_utilization,over_capacity_share,peak_occupancy_ratio,temporal_overcap_share,avg_travel_km,intra_tourist_diversity,wealth_gini,wealth_entropy,neighbourhood_spend_gini,local_spend_share,avg_compliance,precision_at_5,recall_at_5,hit_rate_at_5,diversity_at_5,novelty_at_5,recommendation_coverage,exposure_gini,run
popularity,4000,10903,2.72575,0.6465893275896153,0.5230156837567642,0.9215686274509803,0.9333333333333333,2.9664096747961666,1.4254826194103878,0.6832890030266898,1.24,0.031734385031642665,2.56875,0.5735118774649179,5.506112289982405,0.7226971184756561,0.6517859853953127,1.5053703051072127,0.6658330137669954,0.38464558699394813,0.7184788157223073,0.43231240428790196,0.10877969081102415,0.7040156542453633,0.7704849412965797,0.11725012761613068,0.29411764705882354,0.8229742398916349,0
popularity,4000,10897,2.72425,0.6458132734388595,0.5222593374323208,0.9607843137254902,1.0,2.9590429712197475,1.4182151562019953,0.6867302927411214,1.23125,0.03101771129668716,2.56875,0.5835551069101588,5.470172455655519,0.7314829547128673,0.6539790919788713,1.499325301577205,0.6918822392784156,0.3846501190443559,0.7294921041399914,0.4296030729833547,0.10920396229008283,0.7131882202304738,0.7662663252240717,0.1174383269312847,0.3137254901960784,0.8229764086599216,1
popularity,4000,10933,2.73325,0.6442783878388512,0.522615933412604,0.9607843137254902,0.9666666666666667,2.967494811041623,1.4347774879592097,0.6815604134272386,1.23,0.03073264428793561,2.5875,0.5748650873502241,5.497361163392776,0.7265697299830141,0.6496140969238158,1.5083340178983082,0.6780100116790893,0.3819736965212425,0.7203815688612555,0.4197257473809727,0.10679966658284648,0.7101609743633421,0.7676045481645516,0.11745916020781877,0.3137254901960784,0.8218620520348503,2
popularity,4000,10867,2.71675,0.6468301868675418,0.5253657863255728,0.9607843137254902,0.9666666666666667,2.9879095556307953,1.4446576436300917,0.6786509616269438,1.215,0.02355755958406184,2.5125,0.5740314714272569,5.4695531035342295,0.7194740267423974,0.6474735069538131,1.520239323549086,0.675991160675016,0.38364516814245603,0.7098760153911928,0.41763146643864896,0.10827633431316662,0.6987601539119281,0.7653884851075959,0.11721556220607099,0.29411764705882354,0.8230700232209174,3
popularity,4000,10945,2.73625,0.644172619251999,0.5230159890360895,0.9607843137254902,0.9666666666666667,2.9658089535719383,1.4330980179908546,0.6815989036089538,1.225,0.029785290086797624,2.5375,0.5856555504796711,5.511542817997327,0.7263079222720479,0.6510231188071702,1.506848767423593,0.6789539565268548,0.3819865186734302,0.7241761049135655,0.4226517925572682,0.1094502154229555,0.7089329813505918,0.7714138919640069,0.11815157966448098,0.3137254901960784,0.8229022546598475,4
personalized,4000,10771,2.69275,0.7559258814202606,0.6127054126822022,0.9803921568627451,1.0,3.63397899459635,1.7513302467334335,0.5593073994986537,0.5975,0.0,1.575,0.17203602265342122,6.012725715083569,0.4951210826210826,0.5316103059274697,1.8188712241276188,0.46294994305511983,0.4861990947438747,0.7142980785875022,0.8583174658127055,0.25103910253652456,0.8399688419594945,0.5718875137037678,0.33456673013674915,1.0,0.41770985008162875,0
personalized,4000,10800,2.7,0.7550296855363028,0.6123305555555556,0.9803921568627451,1.0,3.630374415074478,1.7440309440546784,0.5615925925925924,0.6075,0.0,1.590909090909091,0.16324074074074074,6.025281395720515,0.4920522421324775,0.5345620229379568,1.8130928034915488,0.46621661089227406,0.490563549022747,0.7263759086188992,0.85269989615784,0.24982747186687718,0.8444963655244029,0.5736703876773971,0.3363276220145379,1.0,0.4169120192209803,1
personalized,4000,10836,2.709,0.754885378679824,0.6145339608711702,0.9803921568627451,1.0,3.6399283592499403,1.7661742229044675,0.5525101513473605,0.5975,0.0,1.6,0.15411590992986343,6.07596262547942,0.4876,0.5264289392092056,1.830961163339162,0.45699945241550166,0.48746012923589754,0.7232628398791541,0.8473543375053951,0.2486493379476386,0.846180405697022,0.5731348007480939,0.33371048769961154,1.0,0.4203149779549282,2
personalized,4000,10915,2.72875,0.7566204288018826,0.615749885478699,0.9803921568627451,1.0,3.642593447607182,1.7631995949667683,0.5540907008703617,0.605,0.0,1.5384615384615385,0.157581310123683,6.1944476786094835,0.48878860277851516,0.5239283218984363,1.834319062227428,0.4550528417006996,0.4870021873786515,0.7171256454388985,0.8559036144578314,0.25606950455751004,0.8509466437177281,0.5669949799196787,0.33863580034423413,1.0,0.41364381897337266,3
personalized,4000,10834,2.7085,0.756316563701494,0.6146594055750415,0.9803921568627451,1.0,3.6361259650996365,1.7541945259626563,0.5583717925050766,0.6091666666666666,0.0,1.66,0.1578364408344102,6.121187210692086,0.4884118518518518,0.5297183039966209,1.823678312082652,0.45841282920256177,0.4900229961401693,0.7227594543256778,0.8572094629597652,0.2551083794100769,0.8457951994474184,0.5681832441144304,0.3354349853220515,1.0,0.41624630511849015,4
sustainable,4000,10580,2.645,0.7480034918995987,0.6703147448015122,0.9803921568627451,1.0,3.8165099990036113,2.059268370390559,0.37548204158790166,0.7038461538461539,0.0,2.2435897435897436,0.15897920604914934,7.429375329086169,0.4711746289773925,0.3460168840927811,2.101863427563294,0.30972704430262454,0.5229458238678591,0.5301867038911184,0.7650322805793055,0.2117015621289592,0.6871401151631478,0.5759444250567092,0.4315896004187751,1.0,0.38531481690564906,0
sustainable,4000,10642,2.6605,0.7469628558815832,0.6701531666979891,0.9803921568627451,1.0,3.8148524063019,2.052340682448138,0.38032324750986657,0.7,0.0,2.2756410256410255,0.17440330764893816,7.431702083476397,0.4710383991346674,0.35176732375016306,2.0939651696526167,0.31154086361153777,0.5270120437154857,0.5377638234781091,0.7558695272980986,0.2108452826053978,0.6879469736612593,0.5803834525263096,0.4285142159427874,1.0,0.38036342742225093,1
sustainable,4000,10703,2.67575,0.7471719044157198,0.670327011118378,0.9803921568627451,1.0,3.815575051349712,2.057147591361255,0.37771652807624023,0.6653846153846154,0.0,2.2115384615384617,0.16369242268522843,7.527638719303091,0.4693249701314217,0.34714824210535866,2.100742302496612,0.3102707086163232,0.5234550750315518,0.5283444743467315,0.7578262001909888,0.21227959507936114,0.7010157131695459,0.5769492432792199,0.43038736001389016,1.0,0.3844437749055696,2
sustainable,4000,10722,2.6805,0.7490859844487938,0.6713682148852825,0.9803921568627451,1.0,3.816559502570797,2.0604751282992764,0.37576944599888074,0.6961538461538461,0.0,2.2115384615384617,0.1599515015855251,7.513238798547145,0.4634256768872154,0.3463880134698776,2.1025492170282623,0.31099100654768286,0.5219700921268606,0.5307859313938341,0.7603994789405124,0.21525677929705592,0.7010855405992185,0.5771451729628021,0.432909769865393,1.0,0.38579585025499563,3
sustainable,4000,10627,2.65675,0.7487353635265902,0.6704469746871178,0.9803921568627451,1.0,3.8137342581943976,2.0571176698073024,0.3768043662369436,0.6923076923076923,0.0,2.2435897435897436,0.15300649289545498,7.461253809678685,0.4705184784892972,0.34500427476835127,2.102648403312725,0.30816677237705803,0.5240491047195056,0.535835583035792,0.7659322476704694,0.21709274790062463,0.7034747017329966,0.5726788876309907,0.4341705129321606,1.0,0.37955852897633857,4
popularity,5000,13258,2.6516,0.6419550462696539,0.5260506863780359,0.9411764705882353,0.9333333333333333,3.0021709795041467,1.4433238117656266,0.6768743400211192,1.4,0.08425101825313018,3.011111111111111,0.6352391009201991,5.376751310299657,0.7297401999951575,0.6447035285680842,1.522757469706965,0.6561838440077907,0.38612527502495897,0.718276744346864,0.4306064587511237,0.10838757971110653,0.6952492911970126,0.7671759675448909,0.12163183735564623,0.37254901960784315,0.8141654836334644,0
popularity,5000,13227,2.6454,0.6419653450200941,0.5281817494518788,0.9607843137254902,0.9666666666666667,3.0183239571986995,1.4375145752483234,0.6794511227035609,1.365,0.07938308006350646,2.86875,0.6314356997051486,5.353560218891658,0.7186640471512771,0.6458774904602598,1.522855272572913,0.6660358821295895,0.3953894248288322,0.7141968911917098,0.4219550949913645,0.10836705076269114,0.6817962003454231,0.7647047783534829,0.12170210708117446,0.37254901960784315,0.8145207761861222,1
popularity,5000,13285,2.657,0.641829702722662,0.5293609333835153,0.9607843137254902,0.9666666666666667,3.037524839583276,1.4586729548974717,0.6726458411742566,1.37125,0.07926232593150169,2.88125,0.6273240496800904,5.40877453037847,0.7253980352303523,0.6405141638179372,1.536600276971709,0.6607145113562529,0.39121892747850107,0.7163488114980652,0.4176616915422886,0.10636304624353916,0.6878800442233278,0.7664943799520912,0.1213015478164732,0.37254901960784315,0.8142316738746356,2
popularity,5000,13243,2.6486,0.6422617204617718,0.5290825341689951,0.9607843137254902,0.9666666666666667,3.0373694112398497,1.4574774378614066,0.6726043947745979,1.38375,0.07626670693951522,2.9125,0.6256890432681417,5.41072006596364,0.7238998959769698,0.6393153756052481,1.5415595192422025,0.6632428043308511,0.38711791943771745,0.7142955848821945,0.41992676017411734,0.10834874517386667,0.6823740758654046,0.7660357216886616,0.12116838250535482,0.37254901960784315,0.816360958810388,3
popularity,5000,13269,2.6538,0.6399625333727882,0.526826437561233,0.9411764705882353,0.9666666666666667,3.0226485993607435,1.4489936429378374,0.675295802245836,1.3925,0.08078981083728992,2.9944444444444445,0.6273268520611953,5.382127533275966,0.7259429488582475,0.6427739783419175,1.5279762973524207,0.6672282882416531,0.38107754605779287,0.7232173732623279,0.4199875510062937,0.10680892487951442,0.6965903589459852,0.7668370334509071,0.12273006431980082,0.37254901960784315,0.8143990648337627,4
personalized,5000,13267,2.6534,0.74080632847413,0.6152174568478179,0.9803921568627451,1.0,3.654784240717253,1.775100695466622,0.5475766940529132,0.7125,0.0,1.78,0.3089620863797392,6.012724958180212,0.49618681929049235,0.518670147582339,1.844695427275405,0.4530592383059604,0.4824511207131338,0.7170772559145788,0.8477632772698722,0.24924952680854848,0.8312513085351385,0.5805597040965873,0.3341627468769628,1.0,0.4175960174006095,0
personalized,5000,13336,2.6672,0.7398405578250403,0.6136660167966407,0.9803921568627451,1.0,3.6467530319672337,1.7610854618852092,0.5535092981403718,0.7458333333333333,0.0,1.9,0.3246100779844031,6.003716139540975,0.4995866974240677,0.5240206304703043,1.8338021530391964,0.4545036400512419,0.48844673635808794,0.7182393435783325,0.8372435852861414,0.24806792968811778,0.8363813364856407,0.5832189462948799,0.3329146790904666,1.0,0.42249700380812927,1
personalized,5000,13357,2.6714,0.7406584532151744,0.6162820992737891,0.9803921568627451,1.0,3.656710496973028,1.7787671498819901,0.5463577150557759,0.7191666666666666,0.0,1.76,0.31301939058171746,6.045627885451141,0.4946820254379651,0.5170866289869505,1.8484941759832956,0.4485083150304874,0.4847520231643207,0.720636243661874,0.8366743071473225,0.2454775279821869,0.8360075015628256,0.5805172373874187,0.3345590053483365,1.0,0.4193994663920997,2
personalized,5000,13408,2.6816,0.7415020741938526,0.6173187649164676,0.9803921568627451,1.0,3.660334889539287,1.776597568035329,0.5476879474940333,0.7191666666666666,0.0,1.8181818181818183,0.3031772076372315,6.115963940945438,0.48945161290322575,0.5164020598742254,1.8489728658234559,0.4481061405566771,0.4842622837985408,0.7192350332594235,0.8427660753880265,0.2510821676540777,0.8388303769401331,0.5784169438285292,0.3351430155210643,1.0,0.4198638102691188,3
personalized,5000,13372,2.6744,0.7401713844724424,0.6162361651211488,0.9803921568627451,1.0,3.6565842225222225,1.7794310667202986,0.5461262339216273,0.7208333333333333,0.0,1.82,0.3066856117259946,6.124225201731843,0.4935647948681124,0.5162160748474598,1.849808820561071,0.4490289561081564,0.4858542985243752,0.7201666088163832,0.8438875390489414,0.24958842145366306,0.8351266921207914,0.5777542519958347,0.33521763276640054,1.0,0.41623183671247066,4
sustainable,5000,13123,2.6246,0.7333441919939867,0.6671820467880819,0.9803921568627451,1.0,3.815508722229682,2.0516470504162436,0.3810942619827782,0.8269230769230769,0.0,2.5641025641025643,0.2870532652594681,7.3834075840505715,0.47753453979373417,0.3503902535113581,2.096834894150181,0.31554390539724153,0.5160696008374056,0.529226019226721,0.7469931934601081,0.2062207821649186,0.6738474493018034,0.5944974621663978,0.42308792365448034,1.0,0.39997633465006244,0
sustainable,5000,13178,2.6356,0.732514152394608,0.6655235999392928,0.9803921568627451,1.0,3.810407502708798,2.045462262819597,0.3848231901654271,0.8307692307692308,0.0,2.7884615384615383,0.2962513279708605,7.383962069504042,0.48060693991053083,0.3525499728863519,2.0930677750369595,0.31488755235025256,0.5189168732888905,0.5265808617795188,0.7362199216564074,0.20631269889267037,0.6689283715724679,0.5957123204626003,0.42313682148852827,1.0,0.39539539374787425,1
sustainable,5000,13195,2.639,0.7338357588668836,0.6670670708601744,0.9803921568627451,1.0,3.81442962392952,2.0537260511805044,0.38019704433497536,0.8153846153846154,0.0,2.628205128205128,0.2762410003789314,7.417921250048542,0.47594207110336145,0.348012300532635,2.099632797249332,0.3146322803441133,0.5144628032152796,0.5305994131619394,0.7395417074193097,0.2053837050588717,0.6864608076009501,0.5928711983605794,0.4234409668855666,1.0,0.3977638785009603,2
sustainable,5000,13219,2.6438,0.7344558419656037,0.6680868446932444,0.9803921568627451,1.0,3.8145357514779503,2.0481522395748737,0.3838036160072622,0.8076923076923077,0.0,2.532051282051282,0.2826991451698313,7.384650672312282,0.47372934659022187,0.3522487189528245,2.094281562599578,0.316081074095915,0.5165140361526838,0.5303242034656233,0.7455142537730576,0.210675380749705,0.6859278926774734,0.5950730156512019,0.4234281721632197,1.0,0.38912910049430627,3
sustainable,5000,13161,2.6322,0.7332269471183607,0.6685517817795001,0.9803921568627451,1.0,3.815832362120156,2.054568791424028,0.3791581186839905,0.8423076923076923,0.0,2.66025641025641,0.2751310690677,7.367308986899613,0.47328710762603166,0.3468928291288922,2.1005584718907526,0.31275097009793074,0.5181648692850871,0.5387198321091291,0.748205666316894,0.21112236266039427,0.6898915704791885,0.5926884691617116,0.42198922700244834,1.0,0.3946971723281829,4
popularity,6000,15352,2.558666666666667,0.639185602592891,0.5305471599791558,0.9803921568627451,1.0,3.0665005468648374,1.466498285336108,0.6690463783220426,1.53125,0.11868160500260552,3.3055555555555554,0.6654507556018759,5.231741572170387,0.7238729077298343,0.6364034340123459,1.5490501890707662,0.6675779746942831,0.3860262629591606,0.7217595307917889,0.42739002932551323,0.10749647558610137,0.6729618768328446,0.7650391006842621,0.1248192375366569,0.39215686274509803,0.8093234431602554,0
popularity,6000,15241,2.5401666666666665,0.6410159801249046,0.5321022242634998,0.9803921568627451,1.0,3.0673334395506022,1.4722853398028686,0.6678105111213175,1.5175,0.11455941211206613,3.238888888888889,0.6625549504625681,5.212456165676478,0.7180915755572506,0.6347325084567323,1.5573844011271847,0.6642502079186483,0.39450965090297047,0.7159912956537081,0.42143151208610247,0.10751585798178774,0.6646474151620302,0.7636508263247663,0.12446274186908195,0.37254901960784315,0.8100374443725618,1
popularity,6000,15311,2.551833333333333,0.6378847859310042,0.5319534974854679,0.9803921568627451,1.0,3.0732744503245164,1.4774570663213904,0.6653190516622036,1.525,0.11736659917706224,3.2555555555555555,0.6537783293057279,5.275711797049296,0.7262650271492257,0.6324996362871811,1.5610295459116241,0.6633130317106803,0.38864432120989556,0.7182784334448946,0.41928248488051206,0.1059844326425902,0.6694850566613821,0.7639868475133581,0.12484692619341202,0.39215686274509803,0.8086647071487865,2
popularity,6000,15245,2.5408333333333335,0.6395915784349062,0.5315159068547065,0.9803921568627451,1.0,3.0679120692147515,1.4656001797976848,0.6694719580190225,1.53625,0.11636602164644146,3.15,0.6511643161692359,5.193496353661317,0.7257412370256933,0.6363939981614404,1.5507996716743562,0.6669758341906047,0.39075677907745265,0.7194748616507712,0.4165194866360532,0.10656093769207169,0.6688449311197456,0.7637295419757448,0.12478464617920644,0.37254901960784315,0.8091272397337601,3
popularity,6000,15277,2.5461666666666667,0.6379713779133925,0.5297820252667408,0.9607843137254902,0.9666666666666667,3.056334039915519,1.4628332588361652,0.6700333835177064,1.52375,0.12057341101001505,3.272222222222222,0.6604699875630032,5.18005973870288,0.7290102353065316,0.6366710644576945,1.5479600961338718,0.6569915599724174,0.38593361550262295,0.7239779135338346,0.41993656015037595,0.10689450617007001,0.6731672932330827,0.765156837406015,0.1253227208646617,0.39215686274509803,0.809404946189002,4
personalized,6000,15686,2.614333333333333,0.7309278518841948,0.6173830167027923,0.9803921568627451,1.0,3.6680803940067213,1.792612961059089,0.5389646818819329,0.825,0.0,2.06,0.46857069998724976,6.046533856382679,0.49997652007023563,0.5079428922818747,1.8649135252283464,0.4408060002682752,0.4839923296994109,0.7230382117151384,0.8375797296506525,0.24482867834606967,0.8228685119082451,0.5877831743616752,0.32906922581777753,1.0,0.4296890902185675,0
personalized,6000,15734,2.622333333333333,0.7296707433584269,0.6163499427990339,0.9803921568627451,1.0,3.665198495635334,1.7849881429450585,0.542722765984492,0.8341666666666666,0.0,1.925,0.4834117198423796,6.021928797904074,0.4992824287028519,0.5124842389819961,1.857187699481118,0.44638674647662824,0.4833790862437176,0.7225859247135843,0.8300210427870003,0.24604817336283905,0.8240589198036007,0.5870049099836334,0.33283119008650924,1.0,0.42520870868805805,1
personalized,6000,15804,2.634,0.7293745470235512,0.6186965325234118,0.9803921568627451,1.0,3.6699269030615236,1.7942611346435102,0.5386990635282207,0.8125,0.0,2.04,0.4818400404960769,6.109855239702743,0.4963792403006297,0.508390344539758,1.8642377761689126,0.4410246039944852,0.4833502116676979,0.7212379065159109,0.826669775032055,0.24382701370124468,0.8257372654155496,0.5882753428915568,0.3327625597388973,1.0,0.42164519380429644,2
personalized,6000,15799,2.633166666666667,0.7305657042203113,0.6190853851509589,0.9803921568627451,1.0,3.6718985400685344,1.7910441212189228,0.540610165200329,0.8133333333333334,0.0,2.121212121212121,0.4825621874802203,6.099125641178759,0.49962070504239176,0.5090501890296972,1.8629871719052393,0.44177214625591255,0.48327067803435525,0.7183951551854656,0.8341116869504454,0.24792669732195569,0.8225703138647877,0.5851576117548866,0.3334732428812672,1.0,0.4228137420460527,3
personalized,6000,15743,2.6238333333333332,0.7303815717210212,0.6193355777170807,0.9803921568627451,1.0,3.675432171329628,1.7966639259289363,0.5378707997205106,0.8116666666666666,0.0,2.1,0.46865273454868833,6.09367744984277,0.4966440905485387,0.5053893176825688,1.8695520801754049,0.4382892481956613,0.4814681511664015,0.7177198202928993,0.8320905537079176,0.24602733460749995,0.8243188050644729,0.5858998969212517,0.3311635451309878,1.0,0.4233816007294453,4
sustainable,6000,15568,2.5946666666666665,0.7234039367158202,0.6658119218910585,0.9803921568627451,1.0,3.8143162469047387,2.0486081687590385,0.3834018499486125,0.9692307692307692,0.0,2.8846153846153846,0.4074383350462487,7.313909618084615,0.4852933325119613,0.35095272440051706,2.0962168306004267,0.3181400519049611,0.5135790025830642,0.5346470588235294,0.7406117647058824,0.20506854848548833,0.6725294117647059,0.6026291176470588,0.41783211764705885,1.0,0.4000083044982701,0
sustainable,6000,15607,2.601166666666667,0.7221179396291257,0.6646498366117768,0.9803921568627451,1.0,3.8132255466611773,2.0426607406999233,0.3878323829051067,0.95,0.0,2.9166666666666665,0.40347280066636765,7.309896560678456,0.48353700974371566,0.35566055645694505,2.0904547843418855,0.3211814687970209,0.5132824120456401,0.5323006512937863,0.7236754092589334,0.2023130903276797,0.6681922196796338,0.6073625535410432,0.41849615677990964,1.0,0.4075288227125622,1
sustainable,6000,15570,2.595,0.7220543517343613,0.6663211303789338,0.9803921568627451,1.0,3.8146754447923996,2.04925460327612,0.38382787411689145,0.9115384615384615,0.0,2.8525641025641026,0.398330122029544,7.280959464495557,0.4851814226490991,0.350187954459656,2.0975770823551194,0.31904153277975755,0.5135616277811801,0.5356575930389794,0.7325298371450409,0.2048221977508943,0.6783467575989183,0.6068088462970584,0.41871350461520374,1.0,0.4037682472601012,2
sustainable,6000,15631,2.605166666666667,0.722942508880293,0.6665466061032564,0.9803921568627451,1.0,3.816659067640668,2.046089920260407,0.38540720363380454,0.9115384615384615,0.0,2.7884615384615383,0.404580641033843,7.26831995658292,0.48410579087374667,0.3529266061516636,2.0931680583610826,0.320287382425112,0.5130504857840167,0.5341622192246789,0.7338220632220985,0.20672077986515086,0.6796082341211659,0.6046176177350302,0.4183364025570348,1.0,0.40667386537044004,3
sustainable,6000,15581,2.5968333333333335,0.7218571640931808,0.6668955779475002,0.9803921568627451,1.0,3.8135261676583183,2.0516517197206166,0.3816378923047301,0.9346153846153846,0.0,2.948717948717949,0.4099223413131378,7.3294857249078635,0.48596787395129937,0.3482823004150568,2.0992392404898217,0.31644770985222315,0.5168063355052693,0.5341002465078061,0.738619556285949,0.20800698927738215,0.6813006221387486,0.6032615330437844,0.41618652423993424,1.0,0.39711279746080863,4
popularity,7000,17230,2.4614285714285713,0.6374308265966914,0.5340423679628554,0.9803921568627451,1.0,3.095732299623157,1.482588064126419,0.6625769007544979,1.67,0.15002901915264075,3.5944444444444446,0.6873476494486361,5.101094448064724,0.7223468660968659,0.6310852278737178,1.5661268096230274,0.6586393502477561,0.39194118501490427,0.7184207834714125,0.4242814769356653,0.1063432214439965,0.6532167331492278,0.7622738740581637,0.1278953666768948,0.39215686274509803,0.8034242028610565,0
popularity,7000,17273,2.4675714285714285,0.636412582812388,0.533203265211602,0.9803921568627451,1.0,3.0907120843218365,1.474084320435945,0.6660163260580094,1.65625,0.15145024025936432,3.577777777777778,0.6843628784808661,5.045964007641186,0.7210465028923447,0.6333961618369142,1.5609249365743407,0.6613281345147775,0.39172817019923767,0.7218804470419358,0.415841279606275,0.10538882512494728,0.6566697426432893,0.7614397279469565,0.1283254383266687,0.39215686274509803,0.8020076276178472,1
popularity,7000,17335,2.4764285714285714,0.6349609774873509,0.5351358523218921,0.9803921568627451,1.0,3.1054426318529287,1.4877360871045582,0.6612575713873665,1.6575,0.15015863859244302,3.588888888888889,0.6871070089414479,5.1168987609794305,0.7270156168273182,0.629924696869709,1.568868137589374,0.659171024157869,0.39078463253081164,0.7192767391970579,0.414495862703034,0.10500199032837208,0.6547144754316069,0.7636061735962134,0.12818071304525488,0.39215686274509803,0.8038206149759934,2
popularity,7000,17042,2.4345714285714286,0.6376093788064591,0.5347928646872432,0.9803921568627451,1.0,3.105728042385068,1.4843155490709306,0.661647693932637,1.65,0.1428236122520831,3.45,0.6751554981809647,4.989951025704127,0.7224827874776523,0.6290212391217394,1.572807897181403,0.6573876693908263,0.3902549989588883,0.720787588268646,0.4205762589557239,0.10674448560169666,0.6490387093448792,0.7596110166142639,0.12658254729137672,0.39215686274509803,0.8053350797563499,3
popularity,7000,17307,2.4724285714285714,0.6366375690419164,0.5355896458080546,0.9803921568627451,1.0,3.112099311437236,1.4986632755094806,0.6570116137978852,1.64625,0.14739700699139077,3.522222222222222,0.6838273530941238,5.127461921618141,0.7214364372771898,0.6250755848568894,1.5806672362242675,0.6550933345380854,0.38892893619700547,0.7179631237550437,0.4199090862658971,0.10643742709419726,0.653455232647224,0.7632069223828252,0.12859124572245775,0.39215686274509803,0.8045350710895729,4
personalized,7000,17999,2.571285714285714,0.7240892755997798,0.6193394077448746,0.9803921568627451,1.0,3.6815639150241095,1.8043592790340102,0.5332907383743541,0.9025,0.0,2.22,0.6060892271792877,6.018204099284578,0.501798907805975,0.5025137150773862,1.875104488840089,0.4376661905425927,0.4805089358096854,0.7172891292262596,0.8275029059483499,0.24264216033709896,0.80674180017183,0.5925205100992235,0.32849840804568664,1.0,0.43431288318632655,0
personalized,7000,18109,2.587,0.7225612725600902,0.6196162129327958,0.9803921568627451,1.0,3.6798140564582704,1.8032461870729302,0.5338505715390136,0.9183333333333333,0.0,2.3,0.5986526036777293,6.060899279789554,0.5015321693459669,0.5030757102635082,1.8744358318522263,0.4364633289681843,0.48371395936812894,0.7209267187106523,0.8200554016620499,0.24249078198068544,0.8104759506421556,0.5935992613111727,0.32922004532863264,1.0,0.4321653556915086,1
