recommender,from_district,to_district,transitions,avg_distance_km,avg_travel_time_hours
personalized,Ciutat Vella,Ciutat Vella,3722,0.729693059776784,0.09565198898035046
personalized,Ciutat Vella,Eixample,1255,1.527309934227878,0.21246344415464485
personalized,Ciutat Vella,Gracia,500,2.880898663406469,0.4379909472476002
personalized,Ciutat Vella,Horta-Guinardo,112,3.2392344109926756,0.578594518522386
personalized,Ciutat Vella,Les Corts,36,5.5266609694403765,1.2004892015146236
personalized,Ciutat Vella,Nou Barris,7,5.3319567379013435,0.9252854193719898
personalized,Ciutat Vella,Sant Andreu,2,5.445122688813187,0.8769780136551528
personalized,Ciutat Vella,Sant Marti,1699,2.699709603182631,0.3790051722861166
personalized,Ciutat Vella,Sants-Montjuic,1258,2.7589206083982702,0.41060031302040256
personalized,Ciutat Vella,Sarria-Sant Gervasi,26,5.517764181909343,0.9148579591126786
personalized,Eixample,Ciutat Vella,1265,1.577728547468499,0.2290891304213052
personalized,Eixample,Eixample,620,1.1590345088815945,0.15879143242277916
personalized,Eixample,Gracia,101,2.0942885267518974,0.24085332955497638
personalized,Eixample,Horta-Guinardo,102,1.6879846120567092,0.24077718446858243
personalized,Eixample,Les Corts,11,4.5022458013392015,0.9497065592220184
personalized,Eixample,Sant Andreu,1,5.192487408596854,1.2363065258563937
personalized,Eixample,Sant Marti,245,2.627315147405995,0.39451565877069006
personalized,Eixample,Sants-Montjuic,287,2.6742714074885665,0.42432318161475546
personalized,Eixample,Sarria-Sant Gervasi,33,4.391058108121607,0.8140059276619356
personalized,Gracia,Ciutat Vella,291,3.002809069473194,0.4729625919386557
personalized,Gracia,Eixample,87,2.228503925508724,0.3476065380697949
personalized,Gracia,Gracia,3,1.3287260077191343,0.17927255659702604
personalized,Gracia,Horta-Guinardo,34,1.7579788158998197,0.22340164303226334
personalized,Gracia,Les Corts,1,3.923966190578566,0.934277664423468
personalized,Gracia,Nou Barris,148,2.82984768492858,0.3565026014381209
personalized,Gracia,Sant Andreu,1,4.407019532865754,0.36725162773881287
personalized,Gracia,Sant Marti,100,3.317993523185868,0.5450567087499492
personalized,Gracia,Sants-Montjuic,62,4.113670940452273,0.7586589847614971
personalized,Gracia,Sarria-Sant Gervasi,96,2.440366077765639,0.3006391629594603
personalized,Horta-Guinardo,Ciutat Vella,66,3.1200281631250495,0.6060817705788799
personalized,Horta-Guinardo,Eixample,31,1.8852143601074467,0.32019905805836407
personalized,Horta-Guinardo,Gracia,20,2.0559871768604467,0.2567929007872826
personalized,Horta-Guinardo,Sant Andreu,2,2.9520108839683146,0.42887765296673386
personalized,Horta-Guinardo,Sant Marti,8,2.474677106974791,0.28003920245491065
personalized,Horta-Guinardo,Sants-Montjuic,16,5.1441318658862585,1.0262666970268632
personalized,Horta-Guinardo,Sarria-Sant Gervasi,5,3.8674863844205247,0.6599561068424501
personalized,Les Corts,Ciutat Vella,14,5.0435215075754884,1.059941915061086
personalized,Les Corts,Eixample,10,4.448269535298544,0.8428885304776262
personalized,Les Corts,Gracia,3,3.677348400560216,0.643824370650302
personalized,Les Corts,Horta-Guinardo,1,5.451692636310013,1.2980220562642888
personalized,Les Corts,Sant Marti,2,6.291646062656843,1.0111574029269925
personalized,Les Corts,Sants-Montjuic,11,3.068269142791961,0.6565798501086793
personalized,Les Corts,Sarria-Sant Gervasi,17,3.412451713661276,0.4882724769444525
personalized,Nou Barris,Gracia,2,3.3259694999869596,0.7918974999968951
personalized,Nou Barris,Horta-Guinardo,1,1.8598161518793477,0.15498467932327897
personalized,Nou Barris,Nou Barris,152,1.134499888839126,0.1859141552381786
personalized,Nou Barris,Sant Marti,13,5.444834820960098,1.0945272885726047
personalized,Nou Barris,Sarria-Sant Gervasi,5,4.493395888192969,0.7869349310208535
personalized,Sant Andreu,Ciutat Vella,1,5.221039578966002,1.2431046616585717
personalized,Sant Andreu,Eixample,13,5.192487408596855,0.9272298943922953
personalized,Sant Andreu,Gracia,15,4.407019532865754,0.7146833263615628
personalized,Sant Andreu,Horta-Guinardo,1,3.001890630020954,0.7147358642907033
personalized,Sant Andreu,Sant Marti,3,3.4013607909525807,0.46694998669222315
personalized,Sant Marti,Ciutat Vella,679,2.542892328459813,0.3797125160070184
personalized,Sant Marti,Eixample,161,2.7679448563238562,0.4162129849625659
personalized,Sant Marti,Gracia,92,3.525913798576964,0.5537289380611413
personalized,Sant Marti,Horta-Guinardo,14,1.8048668020138174,0.21646069569670198
personalized,Sant Marti,Nou Barris,97,5.507737396392332,0.992558744364673
personalized,Sant Marti,Sant Andreu,82,3.55188890448082,0.6402229304407887
personalized,Sant Marti,Sant Marti,1141,1.9968886888633175,0.26899095984496146
personalized,Sant Marti,Sants-Montjuic,57,5.8093412571814005,1.141754796566805
personalized,Sant Marti,Sarria-Sant Gervasi,8,5.742831039753935,1.1101547354708832
personalized,Sants-Montjuic,Ciutat Vella,794,2.690895479252328,0.4212497055372257
personalized,Sants-Montjuic,Eixample,289,2.6130164013878496,0.3777691239241097
personalized,Sants-Montjuic,Gracia,70,4.051116401624565,0.7258951814764368
personalized,Sants-Montjuic,Horta-Guinardo,6,5.16576971032815,1.22994516912575
personalized,Sants-Montjuic,Les Corts,9,2.7677616139570653,0.570053702357716
personalized,Sants-Montjuic,Sant Marti,108,5.127290136606411,0.9829549855032238
personalized,Sants-Montjuic,Sants-Montjuic,298,0.906397994429625,0.10264903425747277
personalized,Sants-Montjuic,Sarria-Sant Gervasi,12,4.971507611281959,0.7398440612528586
personalized,Sarria-Sant Gervasi,Ciutat Vella,27,5.456770253928628,1.0765315434893703
personalized,Sarria-Sant Gervasi,Eixample,26,4.352547995240047,0.7409666219855633
personalized,Sarria-Sant Gervasi,Gracia,102,2.033349086727838,0.2927607184529933
personalized,Sarria-Sant Gervasi,Horta-Guinardo,9,3.5594825917266295,0.6470892737409382
personalized,Sarria-Sant Gervasi,Les Corts,37,3.554285726316472,0.6093249350720729
personalized,Sarria-Sant Gervasi,Nou Barris,121,4.886139283485019,0.7300076249182655
personalized,Sarria-Sant Gervasi,Sant Marti,9,5.370964301157283,1.0292013614997328
personalized,Sarria-Sant Gervasi,Sants-Montjuic,11,5.065928333965534,0.7708918627081911
personalized,Sarria-Sant Gervasi,Sarria-Sant Gervasi,147,2.3595927085381985,0.25020988872143346
personalized,Start,Ciutat Vella,5146,1.0499379105985391,0.1447306795086975
personalized,Start,Eixample,1452,0.9834221494684173,0.14508305268606211
personalized,Start,Gracia,421,2.837401601439171,0.424232726823321
personalized,Start,Horta-Guinardo,55,2.864678541759095,0.5581008524383904
personalized,Start,Les Corts,26,4.450313694049923,0.8549274004720975
personalized,Start,Nou Barris,4,5.783327610725307,1.3769827644584063
personalized,Start,Sant Andreu,3,5.599111711493856,1.3331218360699655
personalized,Start,Sant Marti,823,3.1546879711654574,0.49965366373413916
personalized,Start,Sants-Montjuic,701,2.507551159290999,0.392337928665545
