recommender,neighbourhood,visits,share,run
random,Barceloneta,457,0.041522805742322366,0
random,Born,526,0.047792113392694895,0
random,Collserola,230,0.020897692167908415,0
random,Diagonal Mar,529,0.04806469198618935,0
random,Dreta de l'Eixample,547,0.0497001635471561,0
random,El Carmel,211,0.019171361075776848,0
random,El Clot,210,0.01908050154461203,0
random,Font de la Guatlla,196,0.01780846810830456,0
random,Fort Pienc,506,0.04597492276939851,0
random,Gotic,786,0.07141559149554788,0
random,Guinardo,117,0.010630565146283846,0
random,Horta,166,0.015082682173359986,0
random,La Bordeta,141,0.012811193894239506,0
random,La Guineueta,315,0.028620752316918043,0
random,La Maternitat,67,0.006087588588042886,0
random,La Salut,180,0.016354715609667454,0
random,Montjuic,545,0.04951844448482646,0
random,Pedralbes,195,0.01771760857713974,0
random,Poblenou,828,0.07523169180447029,0
random,Raval,819,0.07441395602398691,0
random,Raval/Gotic,482,0.04379429402144285,0
random,Sagrada Familia,127,0.011539160457932037,0
random,Sant Andreu,384,0.03489005996729057,0
random,Sant Antoni,237,0.02153370888606215,0
random,Sant Gervasi,236,0.02144284935489733,0
random,Sant Pere,630,0.057241504633836086,0
random,Sants,336,0.03052880247137925,0
random,Turo de la Peira,278,0.025258949663819735,0
random,Vallvidrera,249,0.02262402326003998,0
random,Vila de Gracia,476,0.04324913683445394,0
popularity,Barceloneta,702,0.0643859488214253,0
popularity,Born,246,0.02256259745024305,0
popularity,Collserola,15,0.0013757681372099423,0
popularity,Diagonal Mar,64,0.005869944052095753,0
popularity,Dreta de l'Eixample,1611,0.1477574979363478,0
popularity,El Carmel,12,0.0011006145097679537,0
popularity,El Clot,2,0.0001834357516279923,0
popularity,Font de la Guatlla,105,0.009630376960469596,0
popularity,Fort Pienc,180,0.016509217646519306,0
popularity,Gotic,2348,0.21535357241126296,0
popularity,Guinardo,7,0.000642025130697973,0
popularity,Horta,1,9.171787581399614e-05,0
popularity,La Bordeta,0,0.0,0
popularity,La Guineueta,187,0.01715124277721728,0
popularity,La Maternitat,54,0.004952765293955792,0
popularity,La Salut,992,0.09098413280748417,0
popularity,Montjuic,158,0.014491424378611392,0
popularity,Pedralbes,78,0.0071539943134917,0
popularity,Poblenou,354,0.03246812803815464,0
popularity,Raval,742,0.06805466385398515,0
popularity,Raval/Gotic,1251,0.11473906264330919,0
popularity,Sagrada Familia,763,0.06998073924607906,0
popularity,Sant Andreu,0,0.0,0
popularity,Sant Antoni,20,0.001834357516279923,0
popularity,Sant Gervasi,84,0.007704301568375677,0
popularity,Sant Pere,404,0.03705402182885444,0
popularity,Sants,189,0.017334678528845272,0
popularity,Turo de la Peira,73,0.006695404934421719,0
popularity,Vallvidrera,82,0.007520865816747684,0
popularity,Vila de Gracia,179,0.01641749977070531,0
personalized,Barceloneta,589,0.054683873363661685,0
personalized,Born,478,0.04437842354470337,0
personalized,Collserola,109,0.010119766038436543,0
personalized,Diagonal Mar,510,0.04734936403305171,0
personalized,Dreta de l'Eixample,1062,0.09859808745706063,0
personalized,El Carmel,76,0.007055983659827314,0
personalized,El Clot,76,0.007055983659827314,0
personalized,Font de la Guatlla,256,0.02376752390678674,0
personalized,Fort Pienc,372,0.034537183177049485,0
personalized,Gotic,1306,0.12125150868071674,0
personalized,Guinardo,124,0.011512394392349828,0
personalized,Horta,34,0.0031566242688701143,0
personalized,La Bordeta,45,0.004177885061739857,0
personalized,La Guineueta,171,0.015875963234611455,0
personalized,La Maternitat,58,0.005384829635131371,0
personalized,La Salut,240,0.022282053662612572,0
personalized,Montjuic,481,0.044656949215486026,0
personalized,Pedralbes,90,0.008355770123479715,0
