recommender,poi,district,neighbourhood,lat,lon,visits,capacity,utilization,popularity,sustainability,local_value,run
popularity,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,975,900,1.0833333333333333,0.99,0.45,0.45,0
popularity,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,437,550,0.7945454545454546,0.94,0.42,0.4,0
popularity,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,424,520,0.8153846153846154,0.9,0.46,0.42,0
popularity,Park Guell,Gracia,La Salut,41.4145,2.1527,1290,800,1.6125,0.92,0.62,0.5,0
popularity,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,1412,1200,1.1766666666666667,0.88,0.35,0.55,0
popularity,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,734,700,1.0485714285714285,0.87,0.5,0.82,0
popularity,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,309,650,0.4753846153846154,0.84,0.5,0.48,0
popularity,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,2051,1800,1.1394444444444445,0.89,0.44,0.7,0
popularity,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,21,480,0.04375,0.8,0.55,0.52,0
popularity,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,5,500,0.01,0.76,0.58,0.55,0
popularity,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,3,1300,0.002307692307692308,0.74,0.83,0.56,0
popularity,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,300,1600,0.1875,0.82,0.57,0.64,0
popularity,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,0,400,0.0,0.72,0.54,0.46,0
popularity,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,0,650,0.0,0.66,0.7,0.5,0
popularity,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,0,600,0.0,0.68,0.61,0.48,0
popularity,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,0,350,0.0,0.58,0.62,0.45,0
popularity,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,0,700,0.0,0.62,0.6,0.75,0
popularity,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,0,1500,0.0,0.73,0.49,0.48,0
popularity,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,0,750,0.0,0.77,0.38,0.43,0
popularity,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,0,260,0.0,0.36,0.72,0.62,0
popularity,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,0,420,0.0,0.55,0.78,0.58,0
popularity,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,0,800,0.0,0.63,0.58,0.54,0
popularity,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,0,600,0.0,0.61,0.7,0.5,0
popularity,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,0,500,0.0,0.65,0.66,0.42,0
popularity,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,0,450,0.0,0.64,0.64,0.52,0
popularity,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,0,350,0.0,0.32,0.88,0.64,0
popularity,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,0,650,0.0,0.43,0.78,0.88,0
popularity,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,0,330,0.0,0.45,0.7,0.55,0
popularity,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,0,700,0.0,0.4,0.68,0.84,0
popularity,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,0,1200,0.0,0.47,0.72,0.58,0
popularity,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,0,220,0.0,0.24,0.73,0.62,0
popularity,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,0,700,0.0,0.49,0.76,0.9,0
popularity,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,545,1600,0.340625,0.83,0.43,0.62,0
popularity,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,0,750,0.0,0.48,0.71,0.86,0
popularity,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,0,270,0.0,0.46,0.62,0.5,0
popularity,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,0,500,0.0,0.5,0.75,0.72,0
popularity,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,0,390,0.0,0.38,0.68,0.54,0
popularity,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,0,350,0.0,0.42,0.72,0.64,0
popularity,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,0,260,0.0,0.51,0.6,0.5,0
popularity,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,0,300,0.0,0.2,0.84,0.82,0
popularity,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,0,600,0.0,0.22,0.8,0.86,0
popularity,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,0,700,0.0,0.18,0.9,0.72,0
popularity,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,0,500,0.0,0.16,0.88,0.66,0
popularity,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,0,500,0.0,0.3,0.78,0.88,0
popularity,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,0,280,0.0,0.18,0.86,0.84,0
popularity,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,0,650,0.0,0.28,0.93,0.52,0
popularity,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,0,300,0.0,0.44,0.7,0.54,0
popularity,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,0,500,0.0,0.34,0.74,0.82,0
popularity,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,0,550,0.0,0.21,0.88,0.66,0
popularity,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,0,1000,0.0,0.31,0.76,0.55,0
popularity,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,0,800,0.0,0.29,0.86,0.62,0
personalized,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,250,900,0.2777777777777778,0.99,0.45,0.45,0
personalized,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,145,550,0.2636363636363636,0.94,0.42,0.4,0
personalized,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,147,520,0.2826923076923077,0.9,0.46,0.42,0
personalized,Park Guell,Gracia,La Salut,41.4145,2.1527,180,800,0.225,0.92,0.62,0.5,0
personalized,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,655,1200,0.5458333333333333,0.88,0.35,0.55,0
personalized,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,417,700,0.5957142857142858,0.87,0.5,0.82,0
personalized,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,355,650,0.5461538461538461,0.84,0.5,0.48,0
personalized,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,733,1800,0.4072222222222222,0.89,0.44,0.7,0
personalized,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,232,480,0.48333333333333334,0.8,0.55,0.52,0
personalized,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,308,500,0.616,0.76,0.58,0.55,0
personalized,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,336,1300,0.25846153846153846,0.74,0.83,0.56,0
personalized,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,407,1600,0.254375,0.82,0.57,0.64,0
personalized,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,118,400,0.295,0.72,0.54,0.46,0
personalized,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,58,650,0.08923076923076922,0.66,0.7,0.5,0
personalized,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,159,600,0.265,0.68,0.61,0.48,0
personalized,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,103,350,0.29428571428571426,0.58,0.62,0.45,0
personalized,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,187,700,0.2671428571428571,0.62,0.6,0.75,0
personalized,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,228,1500,0.152,0.73,0.49,0.48,0
personalized,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,16,750,0.021333333333333333,0.77,0.38,0.43,0
personalized,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,27,260,0.10384615384615385,0.36,0.72,0.62,0
personalized,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,33,420,0.07857142857142857,0.55,0.78,0.58,0
personalized,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,30,800,0.0375,0.63,0.58,0.54,0
personalized,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,145,600,0.24166666666666667,0.61,0.7,0.5,0
personalized,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,22,500,0.044,0.65,0.66,0.42,0
personalized,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,90,450,0.2,0.64,0.64,0.52,0
personalized,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,3,350,0.008571428571428572,0.32,0.88,0.64,0
personalized,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,181,650,0.2784615384615385,0.43,0.78,0.88,0
personalized,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,117,330,0.35454545454545455,0.45,0.7,0.55,0
personalized,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,271,700,0.3871428571428571,0.4,0.68,0.84,0
personalized,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,333,1200,0.2775,0.47,0.72,0.58,0
personalized,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,46,220,0.20909090909090908,0.24,0.73,0.62,0
personalized,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,176,700,0.25142857142857145,0.49,0.76,0.9,0
personalized,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,602,1600,0.37625,0.83,0.43,0.62,0
personalized,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,264,750,0.352,0.48,0.71,0.86,0
personalized,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,13,270,0.04814814814814815,0.46,0.62,0.5,0
personalized,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,160,500,0.32,0.5,0.75,0.72,0
personalized,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,11,390,0.028205128205128206,0.38,0.68,0.54,0
personalized,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,30,350,0.08571428571428572,0.42,0.72,0.64,0
personalized,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,48,260,0.18461538461538463,0.51,0.6,0.5,0
personalized,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,2,300,0.006666666666666667,0.2,0.84,0.82,0
personalized,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,25,600,0.041666666666666664,0.22,0.8,0.86,0
personalized,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,108,700,0.15428571428571428,0.18,0.9,0.72,0
personalized,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,75,500,0.15,0.16,0.88,0.66,0
personalized,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,130,500,0.26,0.3,0.78,0.88,0
personalized,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,25,280,0.08928571428571429,0.18,0.86,0.84,0
personalized,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,38,650,0.05846153846153846,0.28,0.93,0.52,0
personalized,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,108,300,0.36,0.44,0.7,0.54,0
personalized,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,44,500,0.088,0.34,0.74,0.82,0
personalized,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,31,550,0.056363636363636366,0.21,0.88,0.66,0
personalized,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,164,1000,0.164,0.31,0.76,0.55,0
personalized,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,247,800,0.30875,0.29,0.86,0.62,0
sustainable,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,103,900,0.11444444444444445,0.99,0.45,0.45,0
sustainable,Casa Batllo,Eixample,Dreta de l'Eixample,41.3917,2.1649,35,550,0.06363636363636363,0.94,0.42,0.4,0
sustainable,La Pedrera,Eixample,Dreta de l'Eixample,41.3954,2.1619,54,520,0.10384615384615385,0.9,0.46,0.42,0
sustainable,Park Guell,Gracia,La Salut,41.4145,2.1527,144,800,0.18,0.92,0.62,0.5,0
sustainable,La Rambla,Ciutat Vella,Raval/Gotic,41.3818,2.1716,87,1200,0.0725,0.88,0.35,0.55,0
sustainable,Mercat de la Boqueria,Ciutat Vella,Raval,41.3817,2.1714,133,700,0.19,0.87,0.5,0.82,0
sustainable,Barcelona Cathedral,Ciutat Vella,Gotic,41.3839,2.1763,93,650,0.14307692307692307,0.84,0.5,0.48,0
sustainable,Gothic Quarter,Ciutat Vella,Gotic,41.383,2.176,236,1800,0.13111111111111112,0.89,0.44,0.7,0
sustainable,Picasso Museum,Ciutat Vella,Sant Pere,41.3852,2.1809,78,480,0.1625,0.8,0.55,0.52,0
sustainable,Santa Maria del Mar,Ciutat Vella,Born,41.3839,2.182,131,500,0.262,0.76,0.58,0.55,0
sustainable,Parc de la Ciutadella,Ciutat Vella,Sant Pere,41.3881,2.1875,293,1300,0.22538461538461538,0.74,0.83,0.56,0
sustainable,Barceloneta Beach,Ciutat Vella,Barceloneta,41.3784,2.1925,99,1600,0.061875,0.82,0.57,0.64,0
sustainable,Palau de la Musica,Ciutat Vella,Sant Pere,41.3875,2.1753,49,400,0.1225,0.72,0.54,0.46,0
