recommender,tourist_id,sequence,primary_interests,budget,mobility_mode,crowd_aversion,sustainability_sensitivity,recommended_pois,recommended_districts,chosen_poi,chosen_district,precision_at_k,hit,recall_at_k,diversity_at_k,novelty_at_k,avg_recommended_sustainability,run
popularity,0,0,food|history|architecture,40.0,public_transport,0.27689385361766283,0.7513135268300619,Sagrada Familia|Casa Batllo|Park Guell|La Pedrera|Gothic Quarter,Eixample|Eixample|Gracia|Eixample|Ciutat Vella,Sagrada Familia,Eixample,0.6,1,0.12,0.6483333333333333,0.072,0.47800000000000004,0
popularity,0,1,food|history|architecture,40.0,public_transport,0.27689385361766283,0.7513135268300619,Casa Batllo|Park Guell|La Pedrera|Gothic Quarter|La Rambla,Eixample|Gracia|Eixample|Ciutat Vella|Ciutat Vella,Casa Batllo,Eixample,0.6,1,0.12,0.7733333333333333,0.094,0.458,0
popularity,0,2,food|history|architecture,40.0,public_transport,0.27689385361766283,0.7513135268300619,Park Guell|La Pedrera|Gothic Quarter|La Rambla|Mercat de la Boqueria,Gracia|Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella,Park Guell,Gracia,0.6,1,0.12,0.8399999999999999,0.10799999999999998,0.47400000000000003,0
popularity,1,0,architecture|museums|religion,8.0,public_transport,0.41523294259454047,0.8289091263909438,Gothic Quarter|La Rambla|Mercat de la Boqueria|Park Guell|Sagrada Familia,Ciutat Vella|Ciutat Vella|Ciutat Vella|Gracia|Eixample,Gothic Quarter,Ciutat Vella,0.6,1,0.075,0.8,0.09,0.4720000000000001,0
popularity,1,1,architecture|museums|religion,8.0,public_transport,0.41523294259454047,0.8289091263909438,La Rambla|Mercat de la Boqueria|Park Guell|Sagrada Familia|Passeig de Gracia,Ciutat Vella|Ciutat Vella|Gracia|Eixample|Eixample,La Rambla,Ciutat Vella,0.6,1,0.075,0.8099999999999999,0.10200000000000001,0.47000000000000003,0
popularity,1,2,architecture|museums|religion,8.0,public_transport,0.41523294259454047,0.8289091263909438,Mercat de la Boqueria|Park Guell|Sagrada Familia|Passeig de Gracia|Barceloneta Beach,Ciutat Vella|Gracia|Eixample|Eixample|Ciutat Vella,Mercat de la Boqueria,Ciutat Vella,0.6,1,0.075,0.865,0.11400000000000002,0.514,0
popularity,2,0,religion|museums|architecture,40.0,public_transport,0.6845134148645546,0.24050705202683278,Sagrada Familia|Casa Batllo|Park Guell|La Pedrera|Gothic Quarter,Eixample|Eixample|Gracia|Eixample|Ciutat Vella,Sagrada Familia,Eixample,0.8,1,0.12903225806451613,0.6483333333333333,0.072,0.47800000000000004,0
popularity,2,1,religion|museums|architecture,40.0,public_transport,0.6845134148645546,0.24050705202683278,Casa Batllo|Park Guell|La Pedrera|Gothic Quarter|La Rambla,Eixample|Gracia|Eixample|Ciutat Vella|Ciutat Vella,Casa Batllo,Eixample,0.6,1,0.0967741935483871,0.7733333333333333,0.094,0.458,0
popularity,2,2,religion|museums|architecture,40.0,public_transport,0.6845134148645546,0.24050705202683278,Park Guell|La Pedrera|Gothic Quarter|La Rambla|Mercat de la Boqueria,Gracia|Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella,Park Guell,Gracia,0.6,1,0.0967741935483871,0.8399999999999999,0.10799999999999998,0.47400000000000003,0
popularity,3,0,beach|food|nightlife,15.0,public_transport,0.3195942824711425,0.4117063961700378,Park Guell|Sagrada Familia|Gothic Quarter|La Rambla|Mercat de la Boqueria,Gracia|Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella,Park Guell,Gracia,0.8,1,0.08888888888888889,0.8,0.09,0.472,0
popularity,3,1,beach|food|nightlife,15.0,public_transport,0.3195942824711425,0.4117063961700378,Sagrada Familia|Gothic Quarter|La Rambla|Mercat de la Boqueria|Passeig de Gracia,Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella|Eixample,Gothic Quarter,Ciutat Vella,0.6,1,0.06666666666666667,0.74,0.10800000000000001,0.434,0
popularity,3,2,beach|food|nightlife,15.0,public_transport,0.3195942824711425,0.4117063961700378,Sagrada Familia|La Rambla|Mercat de la Boqueria|Barcelona Cathedral|Passeig de Gracia,Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella|Eixample,La Rambla,Ciutat Vella,0.4,1,0.044444444444444446,0.71,0.11800000000000002,0.446,0
popularity,4,0,nightlife|family|architecture,8.0,public_transport,0.6360717007917486,0.432708421695942,Gothic Quarter|La Rambla|Mercat de la Boqueria|Park Guell|Sagrada Familia,Ciutat Vella|Ciutat Vella|Ciutat Vella|Gracia|Eixample,Gothic Quarter,Ciutat Vella,0.6,1,0.42857142857142855,0.8,0.09,0.4720000000000001,0
popularity,4,1,nightlife|family|architecture,8.0,public_transport,0.6360717007917486,0.432708421695942,La Rambla|Mercat de la Boqueria|Park Guell|Sagrada Familia|Passeig de Gracia,Ciutat Vella|Ciutat Vella|Gracia|Eixample|Eixample,La Rambla,Ciutat Vella,0.6,1,0.42857142857142855,0.8099999999999999,0.10200000000000001,0.47000000000000003,0
popularity,4,2,nightlife|family|architecture,8.0,public_transport,0.6360717007917486,0.432708421695942,Mercat de la Boqueria|Park Guell|Sagrada Familia|Passeig de Gracia|Barceloneta Beach,Ciutat Vella|Gracia|Eixample|Eixample|Ciutat Vella,Mercat de la Boqueria,Ciutat Vella,0.6,1,0.42857142857142855,0.865,0.11400000000000002,0.514,0
popularity,5,0,nature|family|museums,15.0,taxi,0.8126763158219857,0.2744705594862214,Park Guell|Sagrada Familia|Gothic Quarter|La Rambla|Mercat de la Boqueria,Gracia|Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella,Park Guell,Gracia,0.2,1,0.04,0.8,0.09,0.472,0
popularity,5,1,nature|family|museums,15.0,taxi,0.8126763158219857,0.2744705594862214,Sagrada Familia|Gothic Quarter|La Rambla|Mercat de la Boqueria|Passeig de Gracia,Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella|Eixample,Sagrada Familia,Eixample,0.0,1,0.0,0.74,0.10800000000000001,0.434,0
popularity,5,2,nature|family|museums,15.0,taxi,0.8126763158219857,0.2744705594862214,Gothic Quarter|La Rambla|Mercat de la Boqueria|Barcelona Cathedral|Passeig de Gracia,Ciutat Vella|Ciutat Vella|Ciutat Vella|Ciutat Vella|Eixample,Gothic Quarter,Ciutat Vella,0.0,1,0.0,0.74,0.138,0.44400000000000006,0
popularity,6,0,architecture|history|religion,25.0,walking,0.24814741324161763,0.8359151708707429,Sagrada Familia|Park Guell|Gothic Quarter|La Rambla|La Pedrera,Eixample|Gracia|Ciutat Vella|Ciutat Vella|Eixample,Park Guell,Gracia,0.6,1,0.15789473684210525,0.8150000000000001,0.08399999999999999,0.46399999999999997,0
popularity,6,1,architecture|history|religion,25.0,walking,0.24814741324161763,0.8359151708707429,Sagrada Familia|Gothic Quarter|La Rambla|La Pedrera|Mercat de la Boqueria,Eixample|Ciutat Vella|Ciutat Vella|Eixample|Ciutat Vella,Sagrada Familia,Eixample,0.6,1,0.15789473684210525,0.79,0.094,0.44000000000000006,0
popularity,6,2,architecture|history|religion,25.0,walking,0.24814741324161763,0.8359151708707429,Gothic Quarter|La Rambla|La Pedrera|Mercat de la Boqueria|Casa Batllo,Ciutat Vella|Ciutat Vella|Eixample|Ciutat Vella|Eixample,Gothic Quarter,Ciutat Vella,0.6,1,0.15789473684210525,0.7483333333333333,0.10400000000000001,0.434,0
popularity,7,0,beach|nature|architecture,40.0,public_transport,0.5630794045510422,0.5767869999813854,Sagrada Familia|Casa Batllo|Park Guell|La Pedrera|Gothic Quarter,Eixample|Eixample|Gracia|Eixample|Ciutat Vella,Sagrada Familia,Eixample,0.2,1,0.07142857142857142,0.6483333333333333,0.072,0.47800000000000004,0
popularity,7,1,beach|nature|architecture,40.0,public_transport,0.5630794045510422,0.5767869999813854,Casa Batllo|Park Guell|La Pedrera|Gothic Quarter|La Rambla,Eixample|Gracia|Eixample|Ciutat Vella|Ciutat Vella,Casa Batllo,Eixample,0.2,1,0.07142857142857142,0.7733333333333333,0.094,0.458,0
popularity,7,2,beach|nature|architecture,40.0,public_transport,0.5630794045510422,0.5767869999813854,Park Guell|La Pedrera|Gothic Quarter|La Rambla|Mercat de la Boqueria,Gracia|Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella,La Rambla,Ciutat Vella,0.2,1,0.07142857142857142,0.8399999999999999,0.10799999999999998,0.47400000000000003,0
popularity,8,0,architecture|history|food,8.0,public_transport,0.24492153847427142,0.0752841246604515,Gothic Quarter|La Rambla|Park Guell|Mercat de la Boqueria|Sagrada Familia,Ciutat Vella|Ciutat Vella|Gracia|Ciutat Vella|Eixample,Gothic Quarter,Ciutat Vella,0.8,1,0.18181818181818182,0.8,0.09,0.4720000000000001,0
popularity,8,1,architecture|history|food,8.0,public_transport,0.24492153847427142,0.0752841246604515,La Rambla|Mercat de la Boqueria|Park Guell|Sagrada Familia|Passeig de Gracia,Ciutat Vella|Ciutat Vella|Gracia|Eixample|Eixample,La Rambla,Ciutat Vella,0.8,1,0.18181818181818182,0.8099999999999999,0.10200000000000001,0.47000000000000003,0
popularity,8,2,architecture|history|food,8.0,public_transport,0.24492153847427142,0.0752841246604515,Mercat de la Boqueria|Park Guell|Sagrada Familia|Passeig de Gracia|Barceloneta Beach,Ciutat Vella|Gracia|Eixample|Eixample|Ciutat Vella,Mercat de la Boqueria,Ciutat Vella,0.8,1,0.18181818181818182,0.865,0.11400000000000002,0.514,0
popularity,9,0,history|religion|museums,25.0,walking,0.5272492961279341,0.32830231741487226,Sagrada Familia|Park Guell|Gothic Quarter|La Rambla|La Pedrera,Eixample|Gracia|Ciutat Vella|Ciutat Vella|Eixample,Park Guell,Gracia,0.8,1,0.10810810810810811,0.8150000000000001,0.08399999999999999,0.46399999999999997,0
popularity,9,1,history|religion|museums,25.0,walking,0.5272492961279341,0.32830231741487226,Sagrada Familia|Gothic Quarter|La Rambla|La Pedrera|Mercat de la Boqueria,Eixample|Ciutat Vella|Ciutat Vella|Eixample|Ciutat Vella,Gothic Quarter,Ciutat Vella,1.0,1,0.13513513513513514,0.79,0.094,0.44000000000000006,0
popularity,9,2,history|religion|museums,25.0,walking,0.5272492961279341,0.32830231741487226,Sagrada Familia|La Rambla|La Pedrera|Mercat de la Boqueria|Casa Batllo,Eixample|Ciutat Vella|Eixample|Ciutat Vella|Eixample,La Rambla,Ciutat Vella,1.0,1,0.13513513513513514,0.7683333333333333,0.084,0.43600000000000005,0
popularity,10,0,shopping|nightlife|food,25.0,walking,0.6744492711508768,0.8011513339888425,Sagrada Familia|Park Guell|Gothic Quarter|La Rambla|La Pedrera,Eixample|Gracia|Ciutat Vella|Ciutat Vella|Eixample,Park Guell,Gracia,0.2,1,0.1,0.8150000000000001,0.08399999999999999,0.46399999999999997,0
popularity,10,1,shopping|nightlife|food,25.0,walking,0.6744492711508768,0.8011513339888425,Sagrada Familia|Gothic Quarter|La Pedrera|La Rambla|Mercat de la Boqueria,Eixample|Ciutat Vella|Eixample|Ciutat Vella|Ciutat Vella,Gothic Quarter,Ciutat Vella,0.4,1,0.2,0.79,0.094,0.44000000000000006,0
popularity,10,2,shopping|nightlife|food,25.0,walking,0.6744492711508768,0.8011513339888425,Sagrada Familia|La Rambla|La Pedrera|Mercat de la Boqueria|Casa Batllo,Eixample|Ciutat Vella|Eixample|Ciutat Vella|Eixample,La Rambla,Ciutat Vella,0.4,1,0.2,0.7683333333333333,0.084,0.43600000000000005,0
popularity,11,0,history|museums|religion,15.0,public_transport,0.7876690283511799,0.12757500421257348,Park Guell|Sagrada Familia|Gothic Quarter|La Rambla|Mercat de la Boqueria,Gracia|Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella,Park Guell,Gracia,0.6,1,0.09090909090909091,0.8,0.09,0.472,0
popularity,11,1,history|museums|religion,15.0,public_transport,0.7876690283511799,0.12757500421257348,Sagrada Familia|Gothic Quarter|La Rambla|Mercat de la Boqueria|Barcelona Cathedral,Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella|Ciutat Vella,Gothic Quarter,Ciutat Vella,0.8,1,0.12121212121212122,0.67,0.10600000000000001,0.44800000000000006,0
popularity,11,2,history|museums|religion,15.0,public_transport,0.7876690283511799,0.12757500421257348,Sagrada Familia|La Rambla|Mercat de la Boqueria|Barcelona Cathedral|Passeig de Gracia,Eixample|Ciutat Vella|Ciutat Vella|Ciutat Vella|Eixample,Sagrada Familia,Eixample,0.6,1,0.09090909090909091,0.71,0.11800000000000002,0.446,0
popularity,12,0,beach|museums|family,25.0,walking,0.5876012672822294,0.6285230112971136,Sagrada Familia|Park Guell|Gothic Quarter|La Rambla|La Pedrera,Eixample|Gracia|Ciutat Vella|Ciutat Vella|Eixample,Sagrada Familia,Eixample,0.4,1,0.10526315789473684,0.8150000000000001,0.08399999999999999,0.46399999999999997,0
